"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
3.349557300E-2,6.501224400E1,2.547375040E1,9.833817960E0,NaN,NaN,1.000000000E2,9.975307465E1
5.861563020E-1,6.501251757E1,2.547134648E1,1.607211820E1,1.599999964E-1,2.063999939E2,9.999636650E0,9.892403603E0
1.850585312E0,6.501249699E1,2.547136059E1,1.536161673E1,2.800000012E-1,2.063999939E2,1.027018547E1,9.872147560E0
2.849737239E0,6.501248369E1,2.547135311E1,1.641105971E1,9.700000286E-1,2.031999969E2,8.899608612E0,9.184144974E0
3.849368749E0,6.501245248E1,2.547133425E1,1.479955896E1,1.100000024E0,2.033999939E2,7.601349354E0,8.119204521E0
4.848798124E0,6.501243682E1,2.547134201E1,1.584680664E1,1.240000010E0,2.086000061E2,7.701728821E0,8.455051422E0
5.849684686E0,6.501242943E1,2.547133019E1,1.451166456E1,1.289999962E0,2.116999969E2,6.711011410E0,7.514358521E0
6.849466768E0,6.501241641E1,2.547131642E1,1.409577496E1,1.190000057E0,2.205000000E2,5.903733253E0,6.723375797E0
7.849562602E0,6.501241247E1,2.547130934E1,1.351826131E1,1.230000019E0,2.143000031E2,6.133416176E0,7.095926285E0
8.849566352E0,6.501240377E1,2.547129539E1,1.267616156E1,1.169999957E0,2.156000061E2,5.657191277E0,6.617806435E0
9.849529841E0,6.501239227E1,2.547128524E1,1.279658756E1,1.240000010E0,2.103000031E2,4.965567589E0,5.738289833E0
1.084955635E1,6.501237894E1,2.547127575E1,1.325374526E1,1.250000000E0,2.091000061E2,4.696038246E0,5.368798733E0
1.184953922E1,6.501236516E1,2.547126810E1,1.341964349E1,1.210000038E0,2.106000061E2,4.224455357E0,4.671711445E0
1.284938364E1,6.501235254E1,2.547125675E1,1.324478174E1,1.120000005E0,2.088999939E2,3.937807560E0,4.208635330E0
1.384940260E1,6.501234107E1,2.547124432E1,1.314932622E1,1.169999957E0,2.076000061E2,3.790092468E0,3.739451885E0
1.484954062E1,6.501233023E1,2.547122580E1,1.279135783E1,1.250000000E0,2.096999969E2,3.797683716E0,4.031603336E0
1.584897140E1,6.501231837E1,2.547120766E1,1.224308223E1,1.259999990E0,2.111000061E2,3.790092468E0,3.839507818E0
1.684966364E1,6.501230769E1,2.547119252E1,1.246098071E1,1.210000038E0,2.113999939E2,3.790092468E0,3.684900761E0
1.784930275E1,6.501229656E1,2.547118017E1,1.294645769E1,1.179999948E0,2.123000031E2,3.790092468E0,3.775934458E0
1.884921025E1,6.501228634E1,2.547116542E1,1.312785700E1,1.169999957E0,2.131000061E2,3.790092468E0,3.482946396E0
1.984973744E1,6.501227706E1,2.547114794E1,1.289067667E1,1.210000038E0,2.151000061E2,3.790092468E0,3.258661747E0
2.084900989E1,6.501226611E1,2.547113258E1,1.336278666E1,1.200000048E0,2.168999939E2,3.790092468E0,3.349808931E0
2.184901030E1,6.501225638E1,2.547112006E1,1.314342911E1,1.149999976E0,2.143999939E2,3.790092468E0,3.390704870E0
2.284910525E1,6.501224434E1,2.547110752E1,1.353332537E1,1.200000048E0,2.106000061E2,3.790092468E0,3.180315256E0
2.384935562E1,6.501223232E1,2.547109352E1,1.384943001E1,1.220000029E0,2.118999939E2,3.790092468E0,3.070081949E0
2.484971103E1,6.501222303E1,2.547107979E1,1.365314350E1,1.169999957E0,2.138000031E2,3.790092468E0,2.807113409E0
2.584936036E1,6.501221469E1,2.547106601E1,1.364478387E1,1.149999976E0,2.153000031E2,3.790092468E0,2.678779125E0
2.684924108E1,6.501220480E1,2.547105057E1,1.382288711E1,1.190000057E0,2.135000000E2,3.790092468E0,2.604741096E0
2.784944421E1,6.501219383E1,2.547103607E1,1.387806602E1,1.169999957E0,2.175000000E2,3.790092468E0,2.553896427E0
2.884955530E1,6.501218197E1,2.547102282E1,1.415877027E1,1.169999957E0,2.171999969E2,3.790092468E0,2.500000000E0
2.984977176E1,6.501217157E1,2.547100915E1,1.422578984E1,1.139999986E0,2.168999939E2,3.790092468E0,2.500000000E0
3.084914843E1,6.501216111E1,2.547099495E1,1.405611507E1,1.230000019E0,2.121000061E2,3.790092468E0,2.500000000E0
3.184912931E1,6.501215104E1,2.547098002E1,1.397445280E1,1.210000038E0,2.118999939E2,3.790092468E0,2.500000000E0
3.284908264E1,6.501214133E1,2.547096477E1,1.379330306E1,1.240000010E0,2.120000000E2,3.790092468E0,2.500000000E0
3.384962744E1,6.501213280E1,2.547095071E1,1.346548548E1,1.250000000E0,2.095000000E2,3.790092468E0,2.869701147E0
3.484894447E1,6.501212590E1,2.547093601E1,1.324008422E1,1.169999957E0,2.106999969E2,3.790092468E0,2.784520149E0
3.584951270E1,6.501211727E1,2.547092118E1,1.330698098E1,1.200000048E0,2.088999939E2,3.790092468E0,2.676610708E0
3.684936223E1,6.501210868E1,2.547090447E1,1.272916323E1,1.240000010E0,2.145000000E2,3.790092468E0,2.633207560E0
3.784980441E1,6.501209976E1,2.547088906E1,1.246018360E1,1.230000019E0,2.121999969E2,3.790092468E0,3.124701262E0
3.884917936E1,6.501209108E1,2.547087479E1,1.247947299E1,1.220000029E0,2.136999969E2,3.790092468E0,3.045868158E0
3.984963743E1,6.501208277E1,2.547086003E1,1.244987305E1,1.220000029E0,2.148999939E2,3.790092468E0,2.886603832E0
4.084968217E1,6.501207372E1,2.547084672E1,1.226945562E1,1.220000029E0,2.105000000E2,3.790092468E0,2.792108774E0
4.184911592E1,6.501206450E1,2.547083323E1,1.204979264E1,1.230000019E0,2.101000061E2,3.790092468E0,3.117160082E0
4.284891853E1,6.501205824E1,2.547081849E1,1.247527005E1,1.159999967E0,2.076000061E2,3.790092468E0,3.417538643E0
